id,cocktail_id,drink_id,quantity
0,0,0,30 ml
1,0,1,90 ml
2,1,0,45 ml
3,1,2,15 ml
4,1,3,Full up (90ml)
5,2,0,30 ml
6,2,4,15 ml
7,2,5,15 ml
8,2,6,1 tsp.
9,3,0,45 ml
10,3,7,20 ml
11,3,8,Full up (90ml)
12,4,0,60 ml
13,4,9,1 dash
14,5,0,45 ml
15,5,5,15 ml
16,5,10,1 tsp.
17,5,11,1 個
18,5,12,2 tsp.
19,6,0,45 ml
20,6,13,15 ml
21,7,0,50 ml
22,7,13,10 ml
23,8,0,30 ml
24,8,14,15 ml
25,8,5,15 ml
26,9,0,30 ml
27,9,2,15 ml
28,9,15,15 ml
29,10,0,30 ml
30,10,5,15 ml
31,10,16,15 ml
32,11,0,30 ml
33,11,2,15 ml
34,11,5,15 ml
35,11,11,1 個
36,12,0,30 ml
37,12,17,10 ml
38,12,13,15 ml
39,12,18,15 ml
40,13,0,20 ml
41,13,13,20 ml
42,13,19,20 ml
43,13,20,1 tsp.
44,13,21,1 dash
45,14,0,45 ml
46,14,5,20 ml
47,14,10,2 tsp.
48,14,8,Full up (90ml)
49,15,0,45 ml
50,15,7,15 ml
51,16,0,45 ml
52,16,7,15 ml
53,16,10,5 ml
54,16,8,Full up (90ml)
55,17,0,45 ml
56,17,7,15 ml
57,18,0,20 ml
58,18,22,20 ml
59,18,23,20 ml
60,19,0,20 ml
61,19,18,20 ml
62,19,24,20 ml
63,19,25,Full up (60ml)
64,20,0,30 ml
65,20,26,10 ml
66,20,14,5 ml
67,20,27,15 ml
68,21,0,20 ml
69,21,28,15 ml
70,21,14,15 ml
71,21,27,10 ml
72,22,0,30 ml
73,22,29,15 ml
74,22,30,15 ml
75,23,0,40 ml
76,23,31,20 ml
77,23,32,スノースタイル
78,24,0,30 ml
79,24,33,30 ml
80,25,0,45 ml
81,25,14,20 ml
82,25,11,1 個
83,26,0,25 ml
84,26,14,9ml
85,26,16,9 ml
86,26,5,17 ml
87,27,0,30 ml
88,27,13,10 ml
89,27,34,10 ml
90,28,0,45 ml
91,28,33,100 ml
92,28,5,1 tsp.
93,29,0,30 ml
94,29,35,20 ml
95,29,14,10 ml
96,30,0,20 ml
97,30,14,30 ml
98,30,11,1 個
99,30,5,20 ml
100,31,0,45 ml
101,31,2,5 ml
102,31,14,5 ml
103,31,36,1 tsp.
104,31,37,1 枚
105,32,38,50 ml
106,32,39,1/2 tsp.
107,32,36,5 ml
108,32,40,5 ml
109,32,41,1/2 tsp.
110,33,0,15 ml
111,33,19,15 ml
112,33,13,15 ml
113,33,3,15 ml
114,34,0,45 ml
115,34,5,20 ml
116,34,10,2 tsp.
117,34,8,Full up (90ml)
118,35,42,60 ml
119,35,14,15 ml
120,35,18,15 ml
121,36,0,40 ml
122,36,3,20 ml
123,37,0,45 ml
124,37,3,Full up (135ml)
125,38,0,45 ml
126,38,5,20 ml
127,38,43,Full up (120ml)
128,39,0,30 ml
129,39,2,15 ml
130,39,5,15 ml
131,40,0,35 ml
132,40,44,15 ml
133,40,5,10 ml
134,40,32,1 tsp.
135,41,0,30 ml
136,41,19,10 ml
137,41,13,10 ml
138,41,3,10 ml
