id,name,kind_id
0,ドライ・ジン,0
1,トニックウォーター,59
2,ブルーキュラソー,14
3,オレンジジュース,66
4,グレープフルーツジュース,68
5,レモンジュース,64
6,グレナデンシロップ,63
7,ライムジュース,65
8,ソーダ,58
9,アンゴスチュラ・アロマティック・ビターズ,45
10,シュガーシロップ,62
11,卵白,95
12,好みのリキュール,
13,ドライ・ベルモット,53
14,パルフェタムール,30
15,パイナップルジュース,67
16,ホワイトキュラソー,12
17,アマレット,17
18,カンパリ,18
19,スイート・ベルモット,52
20,ホワイト・ミントリキュール,28
21,オレンジビターズ,46
22,クレーム・ド・カカオブラウン,21
23,生クリーム,92
24,ディサローノ・アマレット,17
25,ブラッド・オレンジジュース,66
26,カシスリキュール,10
27,クランベリージュース,86
28,ピーチリキュール,11
29,スコッチ・ウィスキー,4
30,カルバドス,5
31,グリーン・ミントリキュール,28
32,砂糖,61
33,トマトジュース,74
34,チェリーブランデー,5
35,ウォッカ,1
36,コーディアル・ライムジュース,65
37,ライムスライス,117
38,タンカレー No.10,0
39,コアントロー,12
40,モナン グリーンアップルシロップ,111
41,モナン ブルーキュラソーシロップ,110
42,タンカレー,0
43,ジンジャーエール,83
44,ライチリキュール,9
45,チンザノ・ベルモット・ロッソ,52
46,チンザノ・ベルモット・エクストラドライ,53
47,オレンジキュラソー,13
48,卵黄,94
49,烏龍茶,79
50,グリーンアップルシロップ,111
51,ブランデー,5
52,コーラ,82
53,カルーア,7
54,パッソア,27
55,フランボワーズリキュール,24
56,アプリコットブランデー,5
57,ホットコーヒー,75
58,ココナッツリキュール,6
59,塩,115
60,アイスコーヒー,75
61,ココナッツミルク,89
62,レッドブル,85
63,カットオレンジ,128
64,ホワイト・ラム,2
65,ゴールド・ラム,2
66,サザンカンフォート,26
67,クラッシュドアイス,
68,ダーク・ラム,2
69,角砂糖,61
70,熱湯,60
71,バター,120
72,ホットミルク,87
73,蜂蜜,96
74,ホット・アップルジュース,69
75,アロマティックビターズ,45
76,ココアパウダー,122
77,テキーラ,3
78,クレーム・ド・カシス,10
79,クレーム・ド・カカオホワイト,21
80,バーボン・ウィスキー,4
81,牛乳,87
82,ウイスキー,4
83,ブラックチョコレートリキュール,20
84,シナモンパウダー,98
85,テネシー・ウイスキー,4
86,豆乳,88
87,アイリッシュ・ウィスキー,4
88,カカオリキュール,21
89,カナディアン・ウイスキー,4
90,水,60
91,カルピス,113
92,ガリアーノ,39
93,ライ・ウイスキー,4
94,コニャック,5
95,グレープジュース,71
96,コーヒー,75
97,ナツメグパウダー,99
98,グラニュー糖,61
99,シャンパン,51
100,レモンスライス,116
101,紅茶リキュール,29
102,ラム,2
103,マリブ,6
104,アップルジュース,69
105,ヨーグリート,15
106,ミドリ,23
107,緑茶,81
108,マンゴージュース,70
109,インスタントコーヒー,77
110,ホイップクリーム,92
111,エスプレッソ・コーヒー,76
112,コーヒーリキュール,7
113,チョコレートシロップ,108
114,マンゴヤン,8
115,ディタ,9
116,スプライト,84
117,アセロラジュース,73
118,アイスティー,78
119,スイート＆サワーミックス,114
120,飲むヨーグルト,90
121,白ワイン,47
122,ベイリーズ,31
123,ジャスミン茶,80
124,ビール,54
125,パッションフルーツリキュール,27
126,ヨーグルトリキュール,15
127,イエーガーマイスター,19
128,モーツァルト・ブラックチョコレート,20
129,モーツァルト・チョコレート・クリーム,20
130,チョコレートリキュール,20
131,バニラアイスクリーム,101
132,グランマルニエ,13
133,ホワイトチョコレートリキュール,20
134,モーツァルト・ホワイトチョコレート,20
135,ストロベリーリキュール,35
136,ココナッツシロップ,107
137,チェリーリキュール,22
138,ルクサルド・マラスキーノ,36
139,マラスキーノリキュール,36
140,トリプルセック,12
141,クレーム・ド・フランボワーズ,
142,赤ワイン,48
143,スロージン,0
144,ティフィン,29
145,バナナ,118
146,ホット豆乳,88
147,ミスティア,32
148,プレーンヨーグルト,90
149,メロンリキュール,23
150,バナナリキュール,25
151,イエロー・バナナリキュール,25
152,グリーン・バナナリキュール,25
153,ピンクグレープフルーツリキュール,34
154,苺,119
155,アブサン,40
156,アドヴォカート,37
157,バニラエッセンス,91
158,アマルーラ・クリーム,
159,ココナッツパウダー,123
160,プルシア,38
161,フランジェリコ,41
162,ヘーゼルナッツリキュール,41
163,ドランブイ,42
164,ピンクグレープフルーツジュース,68
165,ベネディクティン,43
166,全卵,93
167,コカレロ,44
168,エナジードリンク,85
169,カットライム,117
170,フレッシュ・ライムジュース,65
171,ホット赤ワイン,48
172,ポートワイン,50
173,ルビー・ポート,50
174,ピーチ・ネクター,72
175,トゥニー・ポート,50
176,ホワイト・ポート,50
177,ロゼワイン,49
178,スパークリングワイン,51
179,モナン ホワイトピーチシロップ,106
180,エールビール,54
181,黒ビール,54
182,加糖ヨーグルト,90
183,日本酒,55
184,焼酎,56
185,菊正宗,55
186,ヨーグルト,90
187,梅酒,57
188,抹茶パウダー,100
189,芋焼酎,56
190,ライム,117
191,ミントの葉,124
192,麦焼酎,56
193,杏露酒,16
194,甲類焼酎,56
195,巨峰,97
196,モナン アマレットシロップ,109
197,モナン ライチシロップ,105
198,モナン カシスシロップ,102
199,カシスシロップ,102
200,モナン マンゴーシロップ,103
201,キャプテン・巨峰シロップ,104
202,ライチシロップ,105
203,ピーチシロップ,106
204,マンゴーシロップ,103
205,モナン ココナッツシロップ,107
206,モナン チョコレートシロップ,108
207,モナン キャラメルシロップ,112
208,紅茶,78
